site,region,verdict,count
a-01,ap-1,ok-1,65
d-02,eu-2,ok-2,99
d-03,us-3,skip-3,42
a-04,ap-4,ok-4,46
d-05,us-5,ok-5,70
b-06,eu-6,skip-6,34
d-07,us-7,ok-7,2
d-08,ap-8,ok-8,39
d-09,ap-9,ok-9,61
b-10,eu-10,ok-10,81
c-11,ap-11,ok-11,51
b-12,ap-12,skip-12,41
b-13,ap-13,ok-13,44
a-14,us-14,skip-14,51
a-15,ap-15,ok-15,35
a-16,ap-16,ok-16,54
c-17,ap-17,skip-17,27
d-18,us-18,skip-18,84
d-19,ap-19,skip-19,79
b-20,ap-20,ok-20,90
a-21,ap-21,ok-21,21
b-22,us-22,skip-22,62
a-23,eu-23,ok-23,54
a-24,ap-24,skip-24,84
d-25,us-25,ok-25,75
z-99,eu-99,flag{manifest_csv},1
